latitude, longitude, timestamp
39.5365598, -122.3379165, 2022-05-13T19:37:09.766668Z
39.5365599, -122.3379166, 2022-05-13T19:37:09.822224Z
39.5365599, -122.3379166, 2022-05-13T19:37:09.877780Z
39.53656, -122.3379165, 2022-05-13T19:37:09.933336Z
39.53656, -122.3379165, 2022-05-13T19:37:09.988892Z
39.5365599, -122.3379165, 2022-05-13T19:37:10.044448Z
39.5365599, -122.3379166, 2022-05-13T19:37:10.100004Z
39.5365599, -122.3379165, 2022-05-13T19:37:10.155560Z
39.53656, -122.3379165, 2022-05-13T19:37:10.211116Z
39.53656, -122.3379165, 2022-05-13T19:37:10.266672Z
39.53656, -122.3379166, 2022-05-13T19:37:10.322228Z
39.53656, -122.3379166, 2022-05-13T19:37:10.377784Z
39.53656, -122.3379166, 2022-05-13T19:37:10.433340Z
39.53656, -122.3379166, 2022-05-13T19:37:10.488896Z
39.53656, -122.3379165, 2022-05-13T19:37:10.590000Z
39.53656, -122.3379165, 2022-05-13T19:37:10.645556Z
39.53656, -122.3379165, 2022-05-13T19:37:10.701112Z
39.53656, -122.3379165, 2022-05-13T19:37:10.756668Z
39.53656, -122.3379165, 2022-05-13T19:37:10.812224Z
39.53656, -122.3379165, 2022-05-13T19:37:10.867780Z
39.53656, -122.3379165, 2022-05-13T19:37:10.923336Z
39.53656, -122.3379165, 2022-05-13T19:37:10.978892Z
39.5365599, -122.3379164, 2022-05-13T19:37:11.034448Z
39.53656, -122.3379164, 2022-05-13T19:37:11.090004Z
39.53656, -122.3379164, 2022-05-13T19:37:11.145560Z
39.53656, -122.3379164, 2022-05-13T19:37:11.201116Z
39.53656, -122.3379164, 2022-05-13T19:37:11.256672Z
39.53656, -122.3379164, 2022-05-13T19:37:11.312228Z
39.53656, -122.3379164, 2022-05-13T19:37:11.367784Z
39.53656, -122.3379165, 2022-05-13T19:37:11.423340Z
39.53656, -122.3379164, 2022-05-13T19:37:11.478896Z
39.53656, -122.3379164, 2022-05-13T19:37:11.534452Z
39.53656, -122.3379163, 2022-05-13T19:37:11.580000Z
39.53656, -122.3379164, 2022-05-13T19:37:11.635556Z
39.53656, -122.3379164, 2022-05-13T19:37:11.691112Z
39.53656, -122.3379164, 2022-05-13T19:37:11.746668Z
39.53656, -122.3379164, 2022-05-13T19:37:11.802224Z
39.53656, -122.3379164, 2022-05-13T19:37:11.857780Z
39.53656, -122.3379164, 2022-05-13T19:37:11.913336Z
39.53656, -122.3379163, 2022-05-13T19:37:11.968892Z
39.53656, -122.3379164, 2022-05-13T19:37:12.024448Z
39.53656, -122.3379164, 2022-05-13T19:37:12.080004Z
39.53656, -122.3379164, 2022-05-13T19:37:12.135560Z
39.53656, -122.3379164, 2022-05-13T19:37:12.191116Z
39.53656, -122.3379164, 2022-05-13T19:37:12.246672Z
39.53656, -122.3379164, 2022-05-13T19:37:12.302228Z
39.53656, -122.3379164, 2022-05-13T19:37:12.357784Z
39.53656, -122.3379164, 2022-05-13T19:37:12.413340Z
39.53656, -122.3379164, 2022-05-13T19:37:12.468896Z
39.53656, -122.3379163, 2022-05-13T19:37:12.524452Z
39.53656, -122.3379164, 2022-05-13T19:37:12.570000Z
39.53656, -122.3379164, 2022-05-13T19:37:12.625556Z
39.53656, -122.3379164, 2022-05-13T19:37:12.681112Z
39.53656, -122.3379163, 2022-05-13T19:37:12.736668Z
39.53656, -122.3379164, 2022-05-13T19:37:12.792224Z
39.53656, -122.3379164, 2022-05-13T19:37:12.847780Z
39.53656, -122.3379164, 2022-05-13T19:37:12.903336Z
39.53656, -122.3379164, 2022-05-13T19:37:12.958892Z
39.53656, -122.3379163, 2022-05-13T19:37:13.014448Z
39.5365599, -122.3379164, 2022-05-13T19:37:13.070004Z
39.53656, -122.3379164, 2022-05-13T19:37:13.125560Z
39.53656, -122.3379164, 2022-05-13T19:37:13.181116Z
39.53656, -122.3379164, 2022-05-13T19:37:13.236672Z
39.53656, -122.3379164, 2022-05-13T19:37:13.292228Z
39.53656, -122.3379163, 2022-05-13T19:37:13.347784Z
39.53656, -122.3379163, 2022-05-13T19:37:13.403340Z
39.53656, -122.3379163, 2022-05-13T19:37:13.458896Z
39.53656, -122.3379163, 2022-05-13T19:37:13.560000Z
39.53656, -122.3379163, 2022-05-13T19:37:13.615556Z
39.53656, -122.3379163, 2022-05-13T19:37:13.671112Z
39.5365599, -122.3379163, 2022-05-13T19:37:13.726668Z
39.5365599, -122.3379163, 2022-05-13T19:37:13.782224Z
39.53656, -122.3379163, 2022-05-13T19:37:13.837780Z
39.53656, -122.3379163, 2022-05-13T19:37:13.893336Z
39.5365599, -122.3379163, 2022-05-13T19:37:13.948892Z
39.53656, -122.3379162, 2022-05-13T19:37:14.004448Z
39.53656, -122.3379163, 2022-05-13T19:37:14.060004Z
39.53656, -122.3379163, 2022-05-13T19:37:14.115560Z
39.53656, -122.3379163, 2022-05-13T19:37:14.171116Z
39.5365599, -122.3379163, 2022-05-13T19:37:14.226672Z
39.53656, -122.3379163, 2022-05-13T19:37:14.282228Z
39.53656, -122.3379162, 2022-05-13T19:37:14.337784Z
39.5365599, -122.3379163, 2022-05-13T19:37:14.393340Z
39.5365599, -122.3379163, 2022-05-13T19:37:14.448896Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.504452Z
39.53656, -122.3379163, 2022-05-13T19:37:14.560008Z
39.53656, -122.3379162, 2022-05-13T19:37:14.605000Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.660556Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.716112Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.771668Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.827224Z
39.5365598, -122.3379162, 2022-05-13T19:37:14.882780Z
39.5365599, -122.3379163, 2022-05-13T19:37:14.938336Z
39.5365599, -122.3379162, 2022-05-13T19:37:14.993892Z
39.5365599, -122.3379162, 2022-05-13T19:37:15.049448Z
39.5365599, -122.3379162, 2022-05-13T19:37:15.105004Z
39.5365599, -122.3379162, 2022-05-13T19:37:15.160560Z
39.5365599, -122.3379162, 2022-05-13T19:37:15.216116Z
